barcode,item_code,qty
8850000003727,WA-SP50M-DD-S,52
8850000003730,WA-SP50M-DD-XL,32
8850000003755,WP-SP50M-WR-L,5
8850000003753,WP-SP50M-WR-S,3
8850000003857,WC-SP50Z-WD,7
8850000003856,WC-SP50Z-DW,4
8850000003859,WC-SP50Z-RW,26
8850000003858,WC-SP50Z-GD,3
8850000003860,WC-SP50Z-EW,5
8850000003791,WA-SP51M-RW-S,9
8850000003798,WA-SP51M-WR-S,31
8850000003800,WA-SP51M-WR-L,1
8850000003989,WA-SP30M-WD-S,17
8850000003991,WA-SP30M-WD-L,5
8850000004000,WA-SP30M-DG-M,2
8850000003990,WA-SP30M-WD-M,2
8850000003999,WA-SP30M-DG-S,14
8850000005757,WA-SP11M-WW-5L,13
8850000005756,WA-SP11M-WW-4L,28
8850000005900,WS-SP93Z-WE,32
8850000007105,WA-SP31W-WE-36,4
8850000007101,WA-SP31W-EG-34,4
8850000007104,WA-SP31W-WE-34,10
8850000007106,WA-SP31W-WE-38,1
8850000007102,WA-SP31W-EG-36,8
8850000005898,WS-SP93Z-GE,100
8850000013723,WA-16SP-51M-1-EG-3L,27
8850000013722,WA-16SP-51M-1-EG-2L,49
8850000013719,WA-16SP-51M-1-EG-M,1214
8850000013721,WA-16SP-51M-1-EG-XL,1106
8850000013720,WA-16SP-51M-1-EG-L,971
8850000013718,WA-16SP-51M-1-EG-S,736
8850000012559,WS-16SP-90Z-EW,107
8850000013602,WA-16SP-51M-EG-M,348
8850000013603,WA-16SP-51M-EG-L,209
8850000013627,WA-16SP-51M-WE-5L,1
8850000013620,WA-16SP-51M-WE-XS,15
8850000013628,WA-16SP-51M-WE-7L,9
8850000013621,WA-16SP-51M-WE-S,18
8850000013624,WA-16SP-51M-WE-XL,25
8850000013625,WA-16SP-51M-WE-2L,15
8850000013626,WA-16SP-51M-WE-3L,23
8850000012847,WA-16SP-70M-EW-M,4
8850000012622,WA-16SP-10M-WE-2L,6
8850000012621,WA-16SP-10M-WE-XL,15
8850000012616,WA-16SP-10M-WE-2S,5
8850000012631,WA-16SP-11M-AG-XL,31
8850000012617,WA-16SP-10M-WE-XS,3
8850000012623,WA-16SP-10M-WE-3L,5
8850000012846,WA-16SP-70M-EW-S,6
8850000012848,WA-16SP-70M-EW-L,4
8850000012851,WA-16SP-70M-EW-3L,4
8850000012849,WA-16SP-70M-EW-XL,2
8850000012845,WA-16SP-70M-EW-XS,2
8850000012850,WA-16SP-70M-EW-2L,6
8850000013601,WA-16SP-51M-EG-S,186
8850000013600,WA-16SP-51M-EG-XS,117
8850000013593,WA-16SP-51M-AG-M,32
8850000013595,WA-16SP-51M-AG-2L,67
8850000013629,WA-16SP-51M-AG-L,71
8850000013592,WA-16SP-51M-AG-S,20
8850000014960,WA-16SP-51M417-EG-S,15
8850000014962,WA-16SP-51M471-EG-L,19
8850000014961,WA-16SP-51M417-EG-M,23
8850000014970,WA-16SP-51M432-EG-S,15
8850000014972,WA-16SP-51M432-EG-L,25
8850000014963,WA-16SP-51M417-EG-XL,24
8850000014964,WA-16SP-51M417-EG-2L,8
8850000014974,WA-16SP-51M432-EG-2L,9
8850000014973,WA-16SP-51M432-EG-XL,25
8850000014971,WA-16SP-51M432-EG-M,22
8850000014958,WA-16SP-51M47-EG-XL,20
8850000014956,WA-16SP-51M47-EG-M,16
8850000014957,WA-16SP-51M47-EG-L,18
8850000014955,WA-16SP-51M47-EG-S,11
8850000014959,WA-16SP-51M47-EG-2L,8
8850000014951,WA-16SP-51M410-EG-M,15
8850000014969,WA-16SP-51M418-EG-2L,10
8850000014950,WA-16SP-51M410-EG-S,5
8850000014954,WA-16SP-51M410-EG-2L,2
8850000014953,WA-16SP-51M410-EG-XL,17
8850000014965,WA-16SP-51M418-EG-S,14
8850000014967,WA-16SP-51M418-EG-L,21
8850000014968,WA-16SP-51M418-EG-XL,21
8850000014966,WA-16SP-51M418-EG-M,21
8850000013604,WA-16SP-51M-EG-XL,119
8850000013606,WA-16SP-51M-EG-3L,65
8850000013605,WA-16SP-51M-EG-2L,77
8850000013594,WA-16SP-51M-AG-XL,202
8850000013591,WA-16SP-51M-AG-XS,83
8850000012634,WA-16SP-11M-AG-5L,2
8850000013596,WA-16SP-51M-AG-3L,63
8850000007103,WA-SP31W-EG-38,2
8850000014635,WA-1527-16SIM2-OO-3L,5
8850000012633,WA-16SP-11M-AG-3L,29
8850000012632,WA-16SP-11M-AG-2L,31
8850000011958,WP-16SP-60M-AB-2L,1
8850000011963,WP-16SP-60M-EG-L,21
8850000011956,WP-16SP-60M-AB-L,21
8850000003964,WP-SP70M-DG-L,6
8850000003967,WP-SP70M-DG-3L,5
8850000003962,WP-SP70M-DG-S,7
8850000003963,WP-SP70M-DG-M,7
8850000003966,WP-SP70M-DG-2L,7
8850000003965,WP-SP70M-DG-XL,6
8850000011965,WP-16SP-60M-EG-2L,4
8850000011961,WP-16SP-60M-EG-S,5
8850000011967,WP-16SP-60M-EG-5L,2
8850000011966,WP-16SP-60M-EG-3L,1
8850000012618,WA-16SP-10M-WE-S,7
8850000012619,WA-16SP-10M-WE-M,6
8850000012610,WA-16SP-10M-EG-L,5
8850000012613,WA-16SP-10M-EG-3L,1
8850000012609,WA-16SP-10M-EG-M,7
8850000012614,WA-16SP-10M-EG-5L,1
8850000012611,WA-16SP-10M-EG-XL,8
8850000013598,WA-16SP-51M-AG-7L,4
8850000013597,WA-16SP-51M-AG-5L,2
8850000014302,WP-16SP-51M-EG-S,9
8850000014304,WP-16SP-51M-EG-L,24
8850000014306,WP-16SP-51M-EG-2L,4
8850000014305,WP-16SP-51M-EG-XL,25
8850000014303,WP-16SP-51M-EG-M,22
8850000013617,WA-16SP-51M-GE-5L,7
8850000013614,WA-16SP-51M-GE-XL,40
8850000013616,WA-16SP-51M-GE-3L,11
8850000013612,WA-16SP-51M-GE-M,34
8850000013615,WA-16SP-51M-GE-2L,12
8850000013618,WA-16SP-51M-GE-7L,5
8850000013613,WA-16SP-51M-GE-L,39
8850000013610,WA-16SP-51M-GE-XS,1
8850000013611,WA-16SP-51M-GE-S,4
8850000013607,WA-16SP-51M-EG-5L,1
8850000013608,WA-16SP-51M-EG-7L,8
8850000015590,WS-16SP97Z-WE,36
8850000013763,WA-16SP-51M-1-WE-L,39
8850000013762,WA-16SP-51M-1-WE-M,45
8850000014317,WP-16SP-51M-1-AG-M,2
8850000014316,WP-16SP-51M-1-AG-S,1
8850000014319,WP-16SP-51M-1-AG-XL,2
8850000014318,WP-16SP-51M-1-AG-L,2
8850000012131,WA-16SP-52M-1-AG-XL,4
8850000012140,WA-16SP-52M-1-GA-XL,5
8850000012139,WA-16SP-52M-1-GA-L,4
8850000012630,WA-16SP-11M-AG-L,45
8850000012628,WA-16SP-11M-AG-S,23
8850000012626,WA-16SP-11M-AG-2S,6
8850000012629,WA-16SP-11M-AG-M,21
8850000011957,WP-16SP-60M-AB-XL,20
8850000011954,WP-16SP-60M-AB-S,5
8850000011955,WP-16SP-60M-AB-M,9
8850000011960,WP-16SP-60M-AB-5L,1
8850000011964,WP-16SP-60M-EG-XL,19
8850000011962,WP-16SP-60M-EG-M,8
8850000013764,WA-16SP-51M-1-WE-XL,-16
8850000013760,WA-16SP-51M-1-WE-XS,-3
8850000013761,WA-16SP-51M-1-WE-S,-9
8850000013766,WA-16SP-51M-1-WE-3L,-2
8850000012624,WA-16SP-10M-WE-5L,-1
8850000013765,WA-16SP-51M-1-WE-2L,-3
8850000013767,WA-16SP-51M-1-WE-5L,-1
8850000012612,WA-16SP-10M-EG-2L,-2
8850000012608,WA-16SP-10M-EG-S,-1
